Model,Model_Display,Group,Comparison,Coefficient_log_odds,Odds_Ratio,OR_CI_2.5,OR_CI_97.5,p_value,significance,direction
gemini-2.5-flash-lite,Gemini 2.5,Conservative,Conservative baseline,-0.6286086594223749,0.533333333333333,0.4593333795672873,0.6192548965468251,1.6067419667740717e-16,***,lower accuracy than Conservative
gemini-2.5-flash-lite,Gemini 2.5,Liberal,Liberal vs Conservative,0.3527145427226363,1.4229249011857719,1.165263081308546,1.737560647798831,0.0005390548364887918,***,higher accuracy than Conservative
gemini-2.5-flash-lite,Gemini 2.5,Independent,Independent vs Conservative,0.5031744770304716,1.6539634146341475,1.306451714964641,2.0939120409989953,2.8982559596783182e-05,***,higher accuracy than Conservative
gemma3_27b,Gemma3 27B,Conservative,Conservative baseline,-0.34868129625798716,0.7056179775280896,0.61070973840874,0.8152755702048359,2.2342077356167005e-06,***,lower accuracy than Conservative
gemma3_27b,Gemma3 27B,Liberal,Liberal vs Conservative,0.154817979023861,1.1674454422052838,0.9599530293074908,1.4197870301103235,0.12099456905513117,ns,higher accuracy than Conservative
gemma3_27b,Gemma3 27B,Independent,Independent vs Conservative,0.3270821844545254,1.3869154553867935,1.0991956976967483,1.749947242716948,0.005829042077713188,**,higher accuracy than Conservative
gpt-4o-mini,GPT-4o mini,Conservative,Conservative baseline,-0.7050285084466973,0.4940944881889767,0.424753879619999,0.5747548756402985,6.357644708491116e-20,***,lower accuracy than Conservative
gpt-4o-mini,GPT-4o mini,Liberal,Liberal vs Conservative,0.3739471204603607,1.4534602901136755,1.1881891171850671,1.7779550278512513,0.0002757970442587185,***,higher accuracy than Conservative
gpt-4o-mini,GPT-4o mini,Independent,Independent vs Conservative,0.5969320129699965,1.8165371301678523,1.433285993175291,2.3022670709061277,7.919230506009789e-07,***,higher accuracy than Conservative
gpt-5.4-mini,GPT-5.4 mini,Conservative,Conservative baseline,-0.3595554068040865,0.697986577181208,0.6040216154635535,0.8065692509220063,1.0942024596228673e-06,***,lower accuracy than Conservative
gpt-5.4-mini,GPT-5.4 mini,Liberal,Liberal vs Conservative,0.12021716956989645,1.1277417361754716,0.9270088775178411,1.3719409321272544,0.22932768097556822,ns,higher accuracy than Conservative
gpt-5.4-mini,GPT-5.4 mini,Independent,Independent vs Conservative,0.23412122441218297,1.2637976860537834,1.0012604775345886,1.5951739103970797,0.04877347332925819,*,higher accuracy than Conservative
llama3.2_3b,Llama 3.2 3B,Conservative,Conservative baseline,0.06062462181643473,1.0624999999999998,0.9215252305837669,1.225041065109917,0.4038757860445904,ns,higher accuracy than Conservative
llama3.2_3b,Llama 3.2 3B,Liberal,Liberal vs Conservative,-0.11906821768650908,0.887747238633445,0.7313750814397335,1.0775526534892577,0.22842679641195618,ns,lower accuracy than Conservative
llama3.2_3b,Llama 3.2 3B,Independent,Independent vs Conservative,0.1956280881050539,1.2160745486313338,0.9639186820592586,1.534193013740124,0.09894038684999594,ns,higher accuracy than Conservative
llama4_scout,Llama 4 Scout,Conservative,Conservative baseline,-0.20359895524123886,0.8157894736842111,0.7070731032103063,0.9412215828212847,0.005269153581468403,**,lower accuracy than Conservative
llama4_scout,Llama 4 Scout,Liberal,Liberal vs Conservative,-0.06313994336529873,0.9388120839733738,0.7724786508154796,1.1409611490026275,0.525695826689363,ns,lower accuracy than Conservative
llama4_scout,Llama 4 Scout,Independent,Independent vs Conservative,0.2770661071231108,1.3192535802111947,1.0464044997919173,1.6632478255265033,0.01909573320659888,*,higher accuracy than Conservative
phi4-mini,Phi4 mini,Conservative,Conservative baseline,0.49189761388047215,1.6354166666666672,1.4123967116413145,1.8936518695962092,4.8333546958050254e-11,***,higher accuracy than Conservative
phi4-mini,Phi4 mini,Liberal,Liberal vs Conservative,-0.3433102307385426,0.7094180941191018,0.5824997743093993,0.8639900897133411,0.0006411103666120535,***,lower accuracy than Conservative
phi4-mini,Phi4 mini,Independent,Independent vs Conservative,-0.2619480080972631,0.7695510330899483,0.6085172907409369,0.9731996141124063,0.028761013698725614,*,lower accuracy than Conservative
qwen3_30b,Qwen3 30B,Conservative,Conservative baseline,-0.9413268100354801,0.39010989010989006,0.33298295655631327,0.4570375851528401,2.2377004687197246e-31,***,lower accuracy than Conservative
qwen3_30b,Qwen3 30B,Liberal,Liberal vs Conservative,0.4651108458094662,1.5921906667692862,1.2929736841248616,1.9606517522149463,1.1911701861078047e-05,***,higher accuracy than Conservative
qwen3_30b,Qwen3 30B,Independent,Independent vs Conservative,0.7550448520254286,2.1277069531815402,1.6704283370273607,2.7101652781306482,9.594290934002698e-10,***,higher accuracy than Conservative
qwen3_4b,Qwen3 4B,Conservative,Conservative baseline,-0.8960880245566355,0.4081632653061225,0.34892641167980226,0.47745669450278444,4.056632578803689e-29,***,lower accuracy than Conservative
qwen3_4b,Qwen3 4B,Liberal,Liberal vs Conservative,0.45302450289146395,1.5730627306273066,1.2793470368219306,1.934210408331185,1.7376623146076807e-05,***,higher accuracy than Conservative
qwen3_4b,Qwen3 4B,Independent,Independent vs Conservative,0.6573799567013138,1.929729729729729,1.5159283516868631,2.4564860375221667,9.37535092549514e-08,***,higher accuracy than Conservative
r1-1776_latest,R1-1776,Conservative,Conservative baseline,-0.023716526617315544,0.9765625000000004,0.847036999934574,1.1258945199323214,0.7439162465151576,ns,lower accuracy than Conservative
r1-1776_latest,R1-1776,Liberal,Liberal vs Conservative,-0.03922559333948158,0.9615337690631806,0.7921918893923424,1.1670747976958307,0.6914759003917876,ns,lower accuracy than Conservative
r1-1776_latest,R1-1776,Independent,Independent vs Conservative,0.36833997546923497,1.4453333333333327,1.1445788051246435,1.8251154355570596,0.0019721290761894185,**,higher accuracy than Conservative
