Model,Model_Display,politics,N,Accuracy,Bias_Prediction_Rate,Human_Bias_Rate,Kappa
gemini-2.5-flash-lite,Gemini 2.5,Conservative,759,0.34782608695652173,0.14361001317523056,0.7325428194993412,0.020394913526296743
gemini-2.5-flash-lite,Gemini 2.5,Liberal,890,0.4314606741573034,0.15617977528089888,0.6213483146067416,0.025546039563254852
gemini-2.5-flash-lite,Gemini 2.5,Independent,463,0.468682505399568,0.12095032397408208,0.5615550755939525,0.028074546881933338
gemma3_27b,Gemma3 27B,Conservative,759,0.4137022397891963,0.20948616600790515,0.7325428194993412,0.0768618962110218
gemma3_27b,Gemma3 27B,Liberal,890,0.451685393258427,0.22359550561797753,0.6213483146067416,0.03309542149577238
gemma3_27b,Gemma3 27B,Independent,463,0.4946004319654428,0.1857451403887689,0.5615550755939525,0.061795320320753744
gpt-4o-mini,GPT-4o mini,Conservative,759,0.33069828722002637,0.09486166007905138,0.7325428194993412,0.027776937274955338
gpt-4o-mini,GPT-4o mini,Liberal,890,0.41797752808988764,0.08651685393258426,0.6213483146067416,0.03052963170135725
gpt-4o-mini,GPT-4o mini,Independent,463,0.47300215982721383,0.07775377969762419,0.5615550755939525,0.045264011899127876
gpt-5.4-mini,GPT-5.4 mini,Conservative,759,0.41106719367588934,0.22529644268774704,0.7325428194993412,0.06185139406206697
gpt-5.4-mini,GPT-5.4 mini,Liberal,890,0.4404494382022472,0.2550561797752809,0.6213483146067416,-0.00018504393665197405
gpt-5.4-mini,GPT-5.4 mini,Independent,463,0.468682505399568,0.2203023758099352,0.5615550755939525,0.005830700207740569
llama3.2_3b,Llama 3.2 3B,Conservative,759,0.5151515151515151,0.5006587615283268,0.7325428194993412,0.02970847344579375
llama3.2_3b,Llama 3.2 3B,Liberal,890,0.4853932584269663,0.5134831460674157,0.6213483146067416,-0.03599367658047359
llama3.2_3b,Llama 3.2 3B,Independent,463,0.5637149028077754,0.5356371490280778,0.5615550755939525,0.11970558337411985
llama4_scout,Llama 4 Scout,Conservative,759,0.4492753623188406,0.32674571805006586,0.7325428194993412,0.05142019972492973
llama4_scout,Llama 4 Scout,Liberal,890,0.4337078651685393,0.3112359550561798,0.6213483146067416,-0.03752156877258073
llama4_scout,Llama 4 Scout,Independent,463,0.5183585313174947,0.3434125269978402,0.5615550755939525,0.07247769882407895
phi4-mini,Phi4 mini,Conservative,759,0.6205533596837944,0.7430830039525692,0.7325428194993412,0.019379844961240233
phi4-mini,Phi4 mini,Liberal,890,0.5370786516853933,0.7539325842696629,0.6213483146067416,-0.05600258039247308
phi4-mini,Phi4 mini,Independent,463,0.5572354211663066,0.796976241900648,0.5615550755939525,0.04461131186648826
qwen3_30b,Qwen3 30B,Conservative,759,0.28063241106719367,0.026350461133069828,0.7325428194993412,0.0012772807896967997
qwen3_30b,Qwen3 30B,Liberal,890,0.3831460674157303,0.017977528089887642,0.6213483146067416,0.00021280339830653805
qwen3_30b,Qwen3 30B,Independent,463,0.4535637149028078,0.032397408207343416,0.5615550755939525,0.019962350972599907
qwen3_4b,Qwen3 4B,Conservative,759,0.2898550724637681,0.03820816864295125,0.7325428194993412,0.006474535356160271
qwen3_4b,Qwen3 4B,Liberal,890,0.39101123595505616,0.03707865168539326,0.6213483146067416,0.005488184528350093
qwen3_4b,Qwen3 4B,Independent,463,0.4406047516198704,0.04103671706263499,0.5615550755939525,-0.005197113087504146
r1-1776_latest,R1-1776,Conservative,759,0.49407114624505927,0.42160737812911725,0.7325428194993412,0.05691099002083855
r1-1776_latest,R1-1776,Liberal,890,0.4842696629213483,0.4764044943820225,0.6213483146067416,-0.019781020804521265
r1-1776_latest,R1-1776,Independent,463,0.5853131749460043,0.4794816414686825,0.5615550755939525,0.1747953140374654
