Model_A,Model_B,Model_A_Display,Model_B_Display,Raw_Agreement,Disagreement_Rate,Cohen_Kappa,N_Shared
gemini-2.5-flash-lite,gemma3_27b,Gemini 2.5,Gemma3 27B,0.8513079394217531,0.1486920605782469,0.49689512698125393,2179
gemini-2.5-flash-lite,gpt-4o-mini,Gemini 2.5,GPT-4o mini,0.8806792106470858,0.11932078935291424,0.42154380232795585,2179
gemini-2.5-flash-lite,gpt-5.4-mini,Gemini 2.5,GPT-5.4 mini,0.8086278109224415,0.19137218907755849,0.38695295764670157,2179
gemini-2.5-flash-lite,llama3.2_3b,Gemini 2.5,Llama 3.2 3B,0.5791647544745296,0.42083524552547036,0.16889035669854302,2179
gemini-2.5-flash-lite,llama4_scout,Gemini 2.5,Llama 4 Scout,0.7769619091326296,0.22303809086737036,0.40219276259636094,2179
gemini-2.5-flash-lite,phi4-mini,Gemini 2.5,Phi4 mini,0.36714089031665903,0.6328591096833409,0.07510598368837684,2179
gemini-2.5-flash-lite,qwen3_30b,Gemini 2.5,Qwen3 30B,0.8448829738412116,0.15511702615878842,0.0422700414039906,2179
gemini-2.5-flash-lite,qwen3_4b,Gemini 2.5,Qwen3 4B,0.8407526388251492,0.15924736117485083,0.0709670205720564,2179
gemini-2.5-flash-lite,r1-1776_latest,Gemini 2.5,R1-1776,0.6461679669573198,0.3538320330426802,0.24379816541016297,2179
gemma3_27b,gpt-4o-mini,Gemma3 27B,GPT-4o mini,0.8531436438733364,0.1468563561266636,0.4388711756762629,2179
gemma3_27b,gpt-5.4-mini,Gemma3 27B,GPT-5.4 mini,0.8260670032124828,0.17393299678751717,0.49964586767871566,2179
gemma3_27b,llama3.2_3b,Gemma3 27B,Llama 3.2 3B,0.5984396512161542,0.40156034878384583,0.20507376923760046,2179
gemma3_27b,llama4_scout,Gemma3 27B,Llama 4 Scout,0.726480036714089,0.273519963285911,0.31111533112171763,2179
gemma3_27b,phi4-mini,Gemma3 27B,Phi4 mini,0.43139054612207434,0.5686094538779256,0.12450599486400038,2179
gemma3_27b,qwen3_30b,Gemma3 27B,Qwen3 30B,0.7888939880679211,0.2111060119320789,0.06494470865463009,2179
gemma3_27b,qwen3_4b,Gemma3 27B,Qwen3 4B,0.7820100963744837,0.2179899036255163,0.06615942754699988,2179
gemma3_27b,r1-1776_latest,Gemma3 27B,R1-1776,0.6984855438274438,0.30151445617255623,0.36384594226011957,2179
gpt-4o-mini,gpt-5.4-mini,GPT-4o mini,GPT-5.4 mini,0.833409821018816,0.166590178981184,0.4073262894774504,2179
gpt-4o-mini,llama3.2_3b,GPT-4o mini,Llama 3.2 3B,0.572739788893988,0.427260211106012,0.15795007344825773,2179
gpt-4o-mini,llama4_scout,GPT-4o mini,Llama 4 Scout,0.7430013767783387,0.25699862322166134,0.27008312237700327,2179
gpt-4o-mini,phi4-mini,GPT-4o mini,Phi4 mini,0.3258375401560349,0.6741624598439651,0.056773053647479976,2179
gpt-4o-mini,qwen3_30b,GPT-4o mini,Qwen3 30B,0.9045433685176687,0.0954566314823313,0.09967263134475424,2179
gpt-4o-mini,qwen3_4b,GPT-4o mini,Qwen3 4B,0.8976594768242313,0.1023405231757687,0.12556888221056506,2179
gpt-4o-mini,r1-1776_latest,GPT-4o mini,R1-1776,0.6314823313446535,0.3685176686553465,0.20337047702516586,2179
gpt-5.4-mini,llama3.2_3b,GPT-5.4 mini,Llama 3.2 3B,0.6264341441027994,0.3735658558972006,0.2598777218815407,2179
gpt-5.4-mini,llama4_scout,GPT-5.4 mini,Llama 4 Scout,0.7416245984396512,0.25837540156034877,0.3626890785988248,2179
gpt-5.4-mini,phi4-mini,GPT-5.4 mini,Phi4 mini,0.42909591555759524,0.5709040844424047,0.10421732414817764,2179
gpt-5.4-mini,qwen3_30b,GPT-5.4 mini,Qwen3 30B,0.7783386874713171,0.22166131252868293,0.10640839611371533,2179
gpt-5.4-mini,qwen3_4b,GPT-5.4 mini,Qwen3 4B,0.7732905002294631,0.2267094997705369,0.11128779247370424,2179
gpt-5.4-mini,r1-1776_latest,GPT-5.4 mini,R1-1776,0.679669573198715,0.320330426801285,0.32715078855980007,2179
llama3.2_3b,llama4_scout,Llama 3.2 3B,Llama 4 Scout,0.7076640660853603,0.29233593391463975,0.41904545056924647,2179
llama3.2_3b,phi4-mini,Llama 3.2 3B,Phi4 mini,0.7338228545204222,0.2661771454795778,0.4626537968661112,2179
llama3.2_3b,qwen3_30b,Llama 3.2 3B,Qwen3 30B,0.4965580541532813,0.5034419458467188,0.009989716224964251,2179
llama3.2_3b,qwen3_4b,Llama 3.2 3B,Qwen3 4B,0.49885268471776045,0.5011473152822395,0.014040222893303644,2179
llama3.2_3b,r1-1776_latest,Llama 3.2 3B,R1-1776,0.7925653969710876,0.20743460302891237,0.5858010263000965,2179
llama4_scout,phi4-mini,Llama 4 Scout,Phi4 mini,0.5176686553464892,0.4823313446535108,0.186323544302898,2179
llama4_scout,qwen3_30b,Llama 4 Scout,Qwen3 30B,0.6750803120697567,0.3249196879302433,0.014737439072989633,2179
llama4_scout,qwen3_4b,Llama 4 Scout,Qwen3 4B,0.6727856815052776,0.3272143184947224,0.02189122506372776,2179
llama4_scout,r1-1776_latest,Llama 4 Scout,R1-1776,0.7076640660853603,0.29233593391463975,0.3957995707113907,2179
phi4-mini,qwen3_30b,Phi4 mini,Qwen3 30B,0.2615878843506195,0.7384121156493805,0.011676612356033345,2179
phi4-mini,qwen3_4b,Phi4 mini,Qwen3 4B,0.2574575493345571,0.7425424506654429,-0.0031263568269128683,2179
phi4-mini,r1-1776_latest,Phi4 mini,R1-1776,0.6512161541991739,0.3487838458008261,0.33369919981459906,2179
qwen3_30b,qwen3_4b,Qwen3 30B,Qwen3 4B,0.960991280403855,0.03900871959614505,0.3417690478813574,2179
qwen3_30b,r1-1776_latest,Qwen3 30B,R1-1776,0.55713630105553,0.44286369894447,0.03083378617489685,2179
qwen3_4b,r1-1776_latest,Qwen3 4B,R1-1776,0.5585130793942176,0.44148692060578243,0.03638409705858292,2179
