Model,Model_Display,N,Before_Accuracy,After_Accuracy,Delta_Accuracy,N_Improved,N_Worsened,N_Unchanged,Improved_Rate,Worsened_Rate,Net_Improvement_Rate,Metadata_Condition,Metadata_Label
gemini-2.5-flash-lite,Gemini 2.5,2179,0.4148692060578247,0.3900871959614502,-0.024782010096374485,74,128,1977,0.03396053235429096,0.058742542450665444,-0.024782010096374485,source,Source
gemma3_27b,Gemma3 27B,2179,0.4515832950894906,0.4593850390087196,0.007801743919228998,204,187,1788,0.09362092703074805,0.08581918311151905,0.007801743919228998,source,Source
gpt-4o-mini,GPT-4o mini,2179,0.40660853602569985,0.3992657182193667,-0.007342817806333168,75,91,2013,0.03441945846718678,0.041762276273519965,-0.007342817806333182,source,Source
gpt-5.4-mini,GPT-5.4 mini,2179,0.44102799449288665,0.4336851766865535,-0.007342817806333168,73,89,2017,0.033501606241395136,0.04084442404772832,-0.007342817806333182,source,Source
llama3.2_3b,Llama 3.2 3B,2179,0.5153740247820101,0.5190454336851766,0.0036714089031665287,123,115,1941,0.05644791188618632,0.05277650298301973,0.003671408903166591,source,Source
llama4_scout,Llama 4 Scout,2179,0.4625975217989904,0.4639743001376778,0.0013767783386874344,64,61,2054,0.029371271225332722,0.02799449288664525,0.0013767783386874725,source,Source
phi4-mini,Phi4 mini,2179,0.5667737494263424,0.5277650298301974,-0.03900871959614505,165,250,1764,0.07572280862781092,0.11473152822395594,-0.03900871959614502,source,Source
qwen3_30b,Qwen3 30B,2179,0.3717301514456173,0.3744837081229922,0.0027535566773749243,41,35,2103,0.018815970628728775,0.016062413951353834,0.0027535566773749416,source,Source
qwen3_4b,Qwen3 4B,2179,0.3758604864616797,0.3841211564938045,0.008260670032124828,73,55,2051,0.033501606241395136,0.025240936209270308,0.008260670032124828,source,Source
r1-1776_latest,R1-1776,2179,0.5098669114272603,0.4827902707664066,-0.027076640660853635,94,153,1932,0.043139054612207434,0.07021569527306104,-0.027076640660853607,source,Source
gemini-2.5-flash-lite,Gemini 2.5,2179,0.4148692060578247,0.4359798072510326,0.0211106011932079,234,188,1757,0.10738871041762277,0.08627810922441487,0.0211106011932079,politics,Politics
gemma3_27b,Gemma3 27B,2179,0.4515832950894906,0.4979348324919688,0.046351537402478216,336,235,1608,0.15419917393299679,0.10784763653051858,0.0463515374024782,politics,Politics
gpt-4o-mini,GPT-4o mini,2179,0.40660853602569985,0.4405690683799908,0.03396053235429097,212,138,1829,0.09729233593391463,0.06333180357962367,0.03396053235429096,politics,Politics
gpt-5.4-mini,GPT-5.4 mini,2179,0.44102799449288665,0.4405690683799908,-0.00045892611289582996,78,79,2022,0.03579623680587425,0.03625516291877008,-0.00045892611289582996,politics,Politics
llama3.2_3b,Llama 3.2 3B,2179,0.5153740247820101,0.5057365764111978,-0.009637448370812263,85,106,1988,0.03900871959614502,0.04864616796695732,-0.009637448370812297,politics,Politics
llama4_scout,Llama 4 Scout,2179,0.4625975217989904,0.48003671408903165,0.01743919229004126,147,109,1923,0.06746213859568609,0.05002294630564479,0.017439192290041296,politics,Politics
phi4-mini,Phi4 mini,2179,0.5667737494263424,0.6025699862322166,0.03579623680587418,194,116,1869,0.0890316659017898,0.05323542909591556,0.035796236805874244,politics,Politics
qwen3_30b,Qwen3 30B,2179,0.3717301514456173,0.4033960532354291,0.03166590178981182,120,51,2008,0.05507113354749885,0.023405231757687012,0.03166590178981184,politics,Politics
qwen3_4b,Qwen3 4B,2179,0.3758604864616797,0.382744378155117,0.006883891693437338,74,59,2046,0.03396053235429096,0.027076640660853604,0.006883891693437356,politics,Politics
r1-1776_latest,R1-1776,2179,0.5098669114272603,0.5562184488297384,0.046351537402478105,291,190,1698,0.13354749885268472,0.08719596145020651,0.0463515374024782,politics,Politics
gemini-2.5-flash-lite,Gemini 2.5,2179,0.4148692060578247,0.44699403396053233,0.03212482790270765,217,147,1815,0.09958696649839376,0.06746213859568609,0.03212482790270767,source_politics,Source + Politics
gemma3_27b,Gemma3 27B,2179,0.4515832950894906,0.49747590637907296,0.045892611289582386,387,287,1505,0.1776044056906838,0.13171179440110142,0.045892611289582386,source_politics,Source + Politics
gpt-4o-mini,GPT-4o mini,2179,0.40660853602569985,0.48324919687930246,0.0766406608536026,463,296,1420,0.21248279027076641,0.13584212941716384,0.07664066085360258,source_politics,Source + Politics
gpt-5.4-mini,GPT-5.4 mini,2179,0.44102799449288665,0.4382744378155117,-0.0027535566773749798,108,114,1957,0.04956402019274897,0.05231757687012391,-0.002753556677374938,source_politics,Source + Politics
llama3.2_3b,Llama 3.2 3B,2179,0.5153740247820101,0.5176686553464892,0.0022946305644790943,185,180,1814,0.08490133088572739,0.08260670032124828,0.002294630564479108,source_politics,Source + Politics
llama4_scout,Llama 4 Scout,2179,0.4625975217989904,0.4960991280403855,0.03350160624139509,193,120,1866,0.08857273978889399,0.05507113354749885,0.033501606241395136,source_politics,Source + Politics
phi4-mini,Phi4 mini,2179,0.5667737494263424,0.4754474529600734,-0.091326296466269,518,717,944,0.2377237264800367,0.32905002294630564,-0.09132629646626894,source_politics,Source + Politics
qwen3_30b,Qwen3 30B,2179,0.3717301514456173,0.408903166590179,0.03717301514456173,142,61,1976,0.06516750803120698,0.02799449288664525,0.03717301514456173,source_politics,Source + Politics
qwen3_4b,Qwen3 4B,2179,0.3758604864616797,0.39329967875172095,0.01743919229004126,100,62,2017,0.04589261128958238,0.028453418999541073,0.017439192290041306,source_politics,Source + Politics
r1-1776_latest,R1-1776,2179,0.5098669114272603,0.5273061037173015,0.017439192290041206,299,261,1619,0.1372189077558513,0.11977971546581001,0.01743919229004129,source_politics,Source + Politics
gemini-2.5-flash-lite,Gemini 2.5,2179,0.4148692060578247,0.398347865993575,-0.016521340064249657,64,100,2015,0.029371271225332722,0.04589261128958238,-0.016521340064249657,source_demographic,Source + Demographic
gemma3_27b,Gemma3 27B,2179,0.4515832950894906,0.4639743001376778,0.012391005048187242,190,163,1826,0.08719596145020651,0.07480495640201927,0.012391005048187242,source_demographic,Source + Demographic
gpt-4o-mini,GPT-4o mini,2179,0.40660853602569985,0.41073887104176227,0.004130335016062414,88,79,2012,0.04038549793483249,0.03625516291877008,0.004130335016062407,source_demographic,Source + Demographic
gpt-5.4-mini,GPT-5.4 mini,2179,0.44102799449288665,0.4350619550252409,-0.005966039467645734,84,97,1998,0.038549793483249196,0.0445158329508949,-0.005966039467645706,source_demographic,Source + Demographic
llama3.2_3b,Llama 3.2 3B,2179,0.5153740247820101,0.5245525470399266,0.009178522257916488,197,177,1805,0.09040844424047728,0.08122992198256081,0.009178522257916474,source_demographic,Source + Demographic
llama4_scout,Llama 4 Scout,2179,0.4625975217989904,0.46626893070215697,0.003671408903166584,64,56,2059,0.029371271225332722,0.02569986232216613,0.003671408903166591,source_demographic,Source + Demographic
phi4-mini,Phi4 mini,2179,0.5667737494263424,0.5245525470399266,-0.0422212023864158,164,256,1759,0.0752638825149151,0.11748508490133089,-0.04222120238641579,source_demographic,Source + Demographic
qwen3_30b,Qwen3 30B,2179,0.3717301514456173,0.3763194125745755,0.004589261128958244,46,36,2097,0.021110601193207894,0.016521340064249657,0.004589261128958237,source_demographic,Source + Demographic
qwen3_4b,Qwen3 4B,2179,0.3758604864616797,0.38320330426801286,0.007342817806333168,69,53,2057,0.03166590178981184,0.02432308398347866,0.007342817806333179,source_demographic,Source + Demographic
r1-1776_latest,R1-1776,2179,0.5098669114272603,0.4979348324919688,-0.011932078935291468,119,145,1915,0.05461220743460303,0.06654428636989444,-0.011932078935291413,source_demographic,Source + Demographic
gemini-2.5-flash-lite,Gemini 2.5,2179,0.4148692060578247,0.4258834327673245,0.011014226709499808,196,172,1811,0.08994951812758147,0.07893529141808169,0.01101422670949978,politics_demographic,Politics + Demographic
gemma3_27b,Gemma3 27B,2179,0.4515832950894906,0.4782010096374484,0.026617714547957805,250,192,1737,0.11473152822395594,0.08811381367599816,0.026617714547957777,politics_demographic,Politics + Demographic
gpt-4o-mini,GPT-4o mini,2179,0.40660853602569985,0.46076181734740707,0.054153281321707214,282,164,1733,0.1294171638366223,0.0752638825149151,0.0541532813217072,politics_demographic,Politics + Demographic
gpt-5.4-mini,GPT-5.4 mini,2179,0.44102799449288665,0.4497475906379073,0.008719596145020658,105,86,1988,0.048187241854061494,0.03946764570904084,0.008719596145020651,politics_demographic,Politics + Demographic
llama3.2_3b,Llama 3.2 3B,2179,0.5153740247820101,0.513079394217531,-0.0022946305644790943,116,121,1942,0.05323542909591556,0.055530059660394676,-0.002294630564479115,politics_demographic,Politics + Demographic
llama4_scout,Llama 4 Scout,2179,0.4625975217989904,0.4827902707664066,0.02019274896741624,130,86,1963,0.05966039467645709,0.03946764570904084,0.020192748967416248,politics_demographic,Politics + Demographic
phi4-mini,Phi4 mini,2179,0.5667737494263424,0.5048187241854062,-0.06195502524093621,322,457,1400,0.14777420835245525,0.20972923359339146,-0.06195502524093621,politics_demographic,Politics + Demographic
qwen3_30b,Qwen3 30B,2179,0.3717301514456173,0.4052317576870124,0.03350160624139514,126,53,2000,0.0578246902248738,0.02432308398347866,0.03350160624139514,politics_demographic,Politics + Demographic
qwen3_4b,Qwen3 4B,2179,0.3758604864616797,0.3772372648003671,0.0013767783386874344,57,54,2068,0.026158788435061954,0.024782010096374485,0.001376778338687469,politics_demographic,Politics + Demographic
r1-1776_latest,R1-1776,2179,0.5098669114272603,0.55713630105553,0.047269389628269765,281,178,1720,0.12895823772372647,0.08168884809545664,0.047269389628269834,politics_demographic,Politics + Demographic
gemini-2.5-flash-lite,Gemini 2.5,2179,0.4148692060578247,0.4300137677833869,0.015144561725562222,193,160,1826,0.08857273978889399,0.07342817806333181,0.01514456172556218,source_politics_demographic,Source + Politics + Demographic
gemma3_27b,Gemma3 27B,2179,0.4515832950894906,0.49518127581459387,0.04359798072510329,379,284,1516,0.1739329967875172,0.13033501606241396,0.043597980725103236,source_politics_demographic,Source + Politics + Demographic
gpt-4o-mini,GPT-4o mini,2179,0.40660853602569985,0.47774208352455255,0.0711335474988527,430,275,1474,0.19733822854520422,0.12620468104635155,0.07113354749885267,source_politics_demographic,Source + Politics + Demographic
gpt-5.4-mini,GPT-5.4 mini,2179,0.44102799449288665,0.4405690683799908,-0.00045892611289582996,110,111,1958,0.050481872418540616,0.05094079853143644,-0.000458926112895823,source_politics_demographic,Source + Politics + Demographic
llama3.2_3b,Llama 3.2 3B,2179,0.5153740247820101,0.5162918770078018,0.0009178522257916599,217,215,1747,0.09958696649839376,0.09866911427260211,0.000917852225791646,source_politics_demographic,Source + Politics + Demographic
llama4_scout,Llama 4 Scout,2179,0.4625975217989904,0.4928866452501147,0.030289123451124333,194,128,1857,0.0890316659017898,0.058742542450665444,0.03028912345112436,source_politics_demographic,Source + Politics + Demographic
phi4-mini,Phi4 mini,2179,0.5667737494263424,0.45250114731528224,-0.11427260211106016,494,743,942,0.22670949977053695,0.34098210188159706,-0.1142726021110601,source_politics_demographic,Source + Politics + Demographic
qwen3_30b,Qwen3 30B,2179,0.3717301514456173,0.41211564938044976,0.04038549793483248,151,63,1965,0.0692978430472694,0.0289123451124369,0.040385497934832496,source_politics_demographic,Source + Politics + Demographic
qwen3_4b,Qwen3 4B,2179,0.3758604864616797,0.390546122074346,0.014685635612666337,100,68,2011,0.04589261128958238,0.031206975676916018,0.014685635612666361,source_politics_demographic,Source + Politics + Demographic
r1-1776_latest,R1-1776,2179,0.5098669114272603,0.5438274437815511,0.03396053235429086,329,255,1595,0.15098669114272603,0.11702615878843506,0.03396053235429097,source_politics_demographic,Source + Politics + Demographic
