Model,Model_Display,Metadata_Condition,Metadata_Label,N,Baseline_Accuracy,Metadata_Accuracy,Delta_Accuracy,Baseline_Kappa,Metadata_Kappa,Delta_Kappa,Baseline_Bias_Rate,Metadata_Bias_Rate,Delta_Bias_Rate
gemini-2.5-flash-lite,Gemini 2.5,source,Source,2179,0.4148692060578247,0.3900871959614502,-0.024782010096374485,0.020837070686102077,0.008666280753127142,-0.012170789932974935,0.14502065167508033,0.08077099586966498,-0.06424965580541535
gemma3_27b,Gemma3 27B,source,Source,2179,0.4515832950894906,0.4593850390087196,0.007801743919228998,0.053088611084140425,0.031990084569645805,-0.02109852651449462,0.21202386415787058,0.29354838709677417,0.08152452293890358
gpt-4o-mini,GPT-4o mini,source,Source,2179,0.40660853602569985,0.3992657182193667,-0.007342817806333168,0.0331404839844901,0.0227832497547803,-0.0103572342297098,0.08627810922441487,0.08260670032124828,-0.003671408903166584
gpt-5.4-mini,GPT-5.4 mini,source,Source,2179,0.44102799449288665,0.4336851766865535,-0.007342817806333168,0.024021234533034508,0.02367391577459832,-0.0003473187584361881,0.2354290959155576,0.20881138136759983,-0.026617714547957777
llama3.2_3b,Llama 3.2 3B,source,Source,2179,0.5153740247820101,0.5190454336851766,0.0036714089031665287,0.025955620274812352,-0.00967587327807129,-0.03563149355288364,0.5089490592014686,0.5860486461679669,0.07709958696649832
llama4_scout,Llama 4 Scout,source,Source,2179,0.4625975217989904,0.4639743001376778,0.0013767783386874344,0.021371279672584675,0.03605835147537606,0.014687071802791385,0.32124827902707664,0.29600734281780633,-0.025240936209270315
phi4-mini,Phi4 mini,source,Source,2179,0.5667737494263424,0.5277650298301974,-0.03900871959614505,-0.010656978920898563,0.000956184387638781,0.011613163308537344,0.7595227168425883,0.5993575034419458,-0.1601652134006425
qwen3_30b,Qwen3 30B,source,Source,2179,0.3717301514456173,0.3744837081229922,0.0027535566773749243,0.004150248891414132,0.00453359691610844,0.00038334802469430773,0.023864157870582835,0.03304268012849931,0.009178522257916478
qwen3_4b,Qwen3 4B,source,Source,2179,0.3758604864616797,0.3841211564938045,0.008260670032124828,0.00492661122214344,0.014926589878889507,0.009999978656746067,0.03717301514456173,0.0445158329508949,0.007342817806333175
r1-1776_latest,R1-1776,source,Source,2179,0.5098669114272603,0.4827902707664066,-0.027076640660853635,0.043505566328623346,0.03915929818136443,-0.004346268147258914,0.45479577787976133,0.36071592473611747,-0.09407985314364387
gemini-2.5-flash-lite,Gemini 2.5,politics,Politics,2179,0.4148692060578247,0.4359798072510326,0.0211106011932079,0.020837070686102077,0.013250782161665975,-0.007586288524436102,0.14502065167508033,0.23955943093162002,0.0945387792565397
gemma3_27b,Gemma3 27B,politics,Politics,2179,0.4515832950894906,0.4979348324919688,0.046351537402478216,0.053088611084140425,0.05348972022580045,0.00040110914166002765,0.21202386415787058,0.3967741935483871,0.18475032939051653
gpt-4o-mini,GPT-4o mini,politics,Politics,2179,0.40660853602569985,0.4405690683799908,0.03396053235429097,0.0331404839844901,0.04075749866109857,0.007617014676608469,0.08627810922441487,0.19733822854520422,0.11106011932078935
gpt-5.4-mini,GPT-5.4 mini,politics,Politics,2179,0.44102799449288665,0.4405690683799908,-0.00045892611289582996,0.024021234533034508,0.030692889013611113,0.006671654480576605,0.2354290959155576,0.21936668196420375,-0.016062413951353854
llama3.2_3b,Llama 3.2 3B,politics,Politics,2179,0.5153740247820101,0.5057365764111978,-0.009637448370812263,0.025955620274812352,-0.005396311435202028,-0.03135193171001438,0.5089490592014686,0.5305185865075723,0.02156952730610373
llama4_scout,Llama 4 Scout,politics,Politics,2179,0.4625975217989904,0.48003671408903165,0.01743919229004126,0.021371279672584675,0.021197546815907686,-0.00017373285667698912,0.32124827902707664,0.3864157870582836,0.06516750803120697
phi4-mini,Phi4 mini,politics,Politics,2179,0.5667737494263424,0.6025699862322166,0.03579623680587418,-0.010656978920898563,0.01976863179001287,0.030425610710911433,0.7595227168425883,0.8439651216154199,0.0844424047728316
qwen3_30b,Qwen3 30B,politics,Politics,2179,0.3717301514456173,0.4033960532354291,0.03166590178981182,0.004150248891414132,0.03168797429411374,0.02753772540269961,0.023864157870582835,0.07755851307939422,0.053694355208811384
qwen3_4b,Qwen3 4B,politics,Politics,2179,0.3758604864616797,0.382744378155117,0.006883891693437338,0.00492661122214344,0.010127870016323537,0.005201258794180097,0.03717301514456173,0.050481872418540616,0.013308857273978889
r1-1776_latest,R1-1776,politics,Politics,2179,0.5098669114272603,0.5562184488297384,0.046351537402478105,0.043505566328623346,0.08221700798527432,0.03871144165665097,0.45479577787976133,0.559889857732905,0.10509407985314367
gemini-2.5-flash-lite,Gemini 2.5,source_politics,Source + Politics,2179,0.4148692060578247,0.44699403396053233,0.03212482790270765,0.020837070686102077,0.043497853084458415,0.02266078239835634,0.14502065167508033,0.21569527306103717,0.07067462138595684
gemma3_27b,Gemma3 27B,source_politics,Source + Politics,2179,0.4515832950894906,0.49747590637907296,0.045892611289582386,0.053088611084140425,0.04723789413661206,-0.005850716947528367,0.21202386415787058,0.40018357044515834,0.18815970628728776
gpt-4o-mini,GPT-4o mini,source_politics,Source + Politics,2179,0.40660853602569985,0.48324919687930246,0.0766406608536026,0.0331404839844901,0.023301712916336537,-0.009838771068153562,0.08627810922441487,0.3942175309775126,0.30793942175309774
gpt-5.4-mini,GPT-5.4 mini,source_politics,Source + Politics,2179,0.44102799449288665,0.4382744378155117,-0.0027535566773749798,0.024021234533034508,0.027779640900169933,0.003758406367135425,0.2354290959155576,0.21707205139972466,-0.01835704451583295
llama3.2_3b,Llama 3.2 3B,source_politics,Source + Politics,2179,0.5153740247820101,0.5176686553464892,0.0022946305644790943,0.025955620274812352,-0.028639483068155336,-0.05459510334296769,0.5089490592014686,0.6131252868288206,0.10417622762735201
llama4_scout,Llama 4 Scout,source_politics,Source + Politics,2179,0.4625975217989904,0.4960991280403855,0.03350160624139509,0.021371279672584675,0.02906779970537743,0.007696520032792753,0.32124827902707664,0.4309316200091785,0.10968334098210186
phi4-mini,Phi4 mini,source_politics,Source + Politics,2179,0.5667737494263424,0.4754474529600734,-0.091326296466269,-0.010656978920898563,0.02046771090980659,0.031124689830705154,0.7595227168425883,0.3708122992198256,-0.3887104176227627
qwen3_30b,Qwen3 30B,source_politics,Source + Politics,2179,0.3717301514456173,0.408903166590179,0.03717301514456173,0.004150248891414132,0.035491469249364194,0.03134122035795006,0.023864157870582835,0.08949059201468564,0.0656264341441028
qwen3_4b,Qwen3 4B,source_politics,Source + Politics,2179,0.3758604864616797,0.39329967875172095,0.01743919229004126,0.00492661122214344,0.01851662564429657,0.01359001442215313,0.03717301514456173,0.07021569527306104,0.03304268012849931
r1-1776_latest,R1-1776,source_politics,Source + Politics,2179,0.5098669114272603,0.5273061037173015,0.017439192290041206,0.043505566328623346,0.028254766568468925,-0.015250799760154421,0.45479577787976133,0.5493345571363011,0.09453877925653975
gemini-2.5-flash-lite,Gemini 2.5,source_demographic,Source + Demographic,2179,0.4148692060578247,0.398347865993575,-0.016521340064249657,0.020837070686102077,0.015633835382639627,-0.00520323530346245,0.14502065167508033,0.09545663148233134,-0.049564020192748984
gemma3_27b,Gemma3 27B,source_demographic,Source + Demographic,2179,0.4515832950894906,0.4639743001376778,0.012391005048187242,0.053088611084140425,0.034744425000815427,-0.018344186083324998,0.21202386415787058,0.29876089949518125,0.08673703533731067
gpt-4o-mini,GPT-4o mini,source_demographic,Source + Demographic,2179,0.40660853602569985,0.41073887104176227,0.004130335016062414,0.0331404839844901,0.013300417908342244,-0.019840066076147855,0.08627810922441487,0.1463974300137678,0.06011932078935292
gpt-5.4-mini,GPT-5.4 mini,source_demographic,Source + Demographic,2179,0.44102799449288665,0.4350619550252409,-0.005966039467645734,0.024021234533034508,0.023285884020640135,-0.0007353505123943727,0.2354290959155576,0.21477742083524554,-0.02065167508031207
llama3.2_3b,Llama 3.2 3B,source_demographic,Source + Demographic,2179,0.5153740247820101,0.5245525470399266,0.009178522257916488,0.025955620274812352,-0.016419808228454347,-0.0423754285032667,0.5089490592014686,0.617255621844883,0.10830656264341443
llama4_scout,Llama 4 Scout,source_demographic,Source + Demographic,2179,0.4625975217989904,0.46626893070215697,0.003671408903166584,0.021371279672584675,0.033828140935336926,0.01245686126275225,0.32124827902707664,0.30931620009178523,-0.011932078935291413
phi4-mini,Phi4 mini,source_demographic,Source + Demographic,2179,0.5667737494263424,0.5245525470399266,-0.0422212023864158,-0.010656978920898563,-0.0071840888182168605,0.0034728901026817027,0.7595227168425883,0.6016521340064249,-0.1578705828361634
qwen3_30b,Qwen3 30B,source_demographic,Source + Demographic,2179,0.3717301514456173,0.3763194125745755,0.004589261128958244,0.004150248891414132,0.006657258528459442,0.00250700963704531,0.023864157870582835,0.034878384580082605,0.01101422670949977
qwen3_4b,Qwen3 4B,source_demographic,Source + Demographic,2179,0.3758604864616797,0.38320330426801286,0.007342817806333168,0.00492661122214344,0.011863404837677782,0.006936793615534342,0.03717301514456173,0.048187241854061494,0.011014226709499766
r1-1776_latest,R1-1776,source_demographic,Source + Demographic,2179,0.5098669114272603,0.4979348324919688,-0.011932078935291468,0.043505566328623346,0.04053473163600774,-0.0029708346926156093,0.45479577787976133,0.4153281321707205,-0.03946764570904082
gemini-2.5-flash-lite,Gemini 2.5,politics_demographic,Politics + Demographic,2179,0.4148692060578247,0.4258834327673245,0.011014226709499808,0.020837070686102077,0.01043894310964788,-0.010398127576454197,0.14502065167508033,0.208352455254704,0.06333180357962367
gemma3_27b,Gemma3 27B,politics_demographic,Politics + Demographic,2179,0.4515832950894906,0.4782010096374484,0.026617714547957805,0.053088611084140425,0.048036167757716686,-0.005052443326423739,0.21202386415787058,0.32491968793024323,0.11289582377237264
gpt-4o-mini,GPT-4o mini,politics_demographic,Politics + Demographic,2179,0.40660853602569985,0.46076181734740707,0.054153281321707214,0.0331404839844901,0.050740384126982896,0.017599900142492797,0.08627810922441487,0.2524093620927031,0.16613125286828823
gpt-5.4-mini,GPT-5.4 mini,politics_demographic,Politics + Demographic,2179,0.44102799449288665,0.4497475906379073,0.008719596145020658,0.024021234533034508,0.039034186729538844,0.015012952196504337,0.2354290959155576,0.2358880220284534,0.0004589261128958022
llama3.2_3b,Llama 3.2 3B,politics_demographic,Politics + Demographic,2179,0.5153740247820101,0.513079394217531,-0.0022946305644790943,0.025955620274812352,0.0018556119741802712,-0.02410000830063208,0.5089490592014686,0.544286369894447,0.03533731069297841
llama4_scout,Llama 4 Scout,politics_demographic,Politics + Demographic,2179,0.4625975217989904,0.4827902707664066,0.02019274896741624,0.021371279672584675,0.023133100254705163,0.001761820582120488,0.32124827902707664,0.3928407526388252,0.07159247361174853
phi4-mini,Phi4 mini,politics_demographic,Politics + Demographic,2179,0.5667737494263424,0.5048187241854062,-0.06195502524093621,-0.010656978920898563,-0.055475822254345,-0.044818843333446434,0.7595227168425883,0.612207434603029,-0.14731528223955936
qwen3_30b,Qwen3 30B,politics_demographic,Politics + Demographic,2179,0.3717301514456173,0.4052317576870124,0.03350160624139514,0.004150248891414132,0.032289634886019214,0.02813938599460508,0.023864157870582835,0.0830656264341441,0.05920146856356126
qwen3_4b,Qwen3 4B,politics_demographic,Politics + Demographic,2179,0.3758604864616797,0.3772372648003671,0.0013767783386874344,0.00492661122214344,0.004518697448932518,-0.0004079137732109217,0.03717301514456173,0.043139054612207434,0.005966039467645706
r1-1776_latest,R1-1776,politics_demographic,Politics + Demographic,2179,0.5098669114272603,0.55713630105553,0.047269389628269765,0.043505566328623346,0.0645909505229475,0.021085384194324153,0.45479577787976133,0.596603946764571,0.14180816888480963
gemini-2.5-flash-lite,Gemini 2.5,source_politics_demographic,Source + Politics + Demographic,2179,0.4148692060578247,0.4300137677833869,0.015144561725562222,0.020837070686102077,0.022869955156950783,0.002032884470848706,0.14502065167508033,0.1968793024323084,0.051858650757228064
gemma3_27b,Gemma3 27B,source_politics_demographic,Source + Politics + Demographic,2179,0.4515832950894906,0.49518127581459387,0.04359798072510329,0.053088611084140425,0.03897968020784892,-0.014108930876291503,0.21202386415787058,0.40798531436438734,0.19596145020651676
gpt-4o-mini,GPT-4o mini,source_politics_demographic,Source + Politics + Demographic,2179,0.40660853602569985,0.47774208352455255,0.0711335474988527,0.0331404839844901,0.035432660440829156,0.0022921764563390568,0.08627810922441487,0.3492427719137219,0.262964662689307
gpt-5.4-mini,GPT-5.4 mini,source_politics_demographic,Source + Politics + Demographic,2179,0.44102799449288665,0.4405690683799908,-0.00045892611289582996,0.024021234533034508,0.030268944924101482,0.006247710391066974,0.2354290959155576,0.2202845341899954,-0.015144561725562194
llama3.2_3b,Llama 3.2 3B,source_politics_demographic,Source + Politics + Demographic,2179,0.5153740247820101,0.5162918770078018,0.0009178522257916599,0.025955620274812352,-0.02195225271566459,-0.04790787299047694,0.5089490592014686,0.5970628728774667,0.08811381367599813
llama4_scout,Llama 4 Scout,source_politics_demographic,Source + Politics + Demographic,2179,0.4625975217989904,0.4928866452501147,0.030289123451124333,0.021371279672584675,0.024537719938274916,0.00316644026569024,0.32124827902707664,0.42771913721890775,0.10647085819183111
phi4-mini,Phi4 mini,source_politics_demographic,Source + Politics + Demographic,2179,0.5667737494263424,0.45250114731528224,-0.11427260211106016,-0.010656978920898563,-0.019499362113586605,-0.008842383192688041,0.7595227168425883,0.3653051858650757,-0.3942175309775126
qwen3_30b,Qwen3 30B,source_politics_demographic,Source + Politics + Demographic,2179,0.3717301514456173,0.41211564938044976,0.04038549793483248,0.004150248891414132,0.03656850796635558,0.03241825907494145,0.023864157870582835,0.09912804038549794,0.0752638825149151
qwen3_4b,Qwen3 4B,source_politics_demographic,Source + Politics + Demographic,2179,0.3758604864616797,0.390546122074346,0.014685635612666337,0.00492661122214344,0.01566922105629831,0.01074260983415487,0.03717301514456173,0.06654428636989444,0.029371271225332715
r1-1776_latest,R1-1776,source_politics_demographic,Source + Politics + Demographic,2179,0.5098669114272603,0.5438274437815511,0.03396053235429086,0.043505566328623346,0.05089580793611426,0.0073902416074909105,0.45479577787976133,0.5704451583295089,0.1156493804497476
